,raw_tweet,cleaned_tweet,tweet_words,tweet_words_scores,sentiment_score,bsentiment
12,@TheFergusonCode @SabeehaMajid When did Arsenal start playing the Premier League?,When did Arsenal start playing the Premier League,"['When', 'did', 'Arsenal', 'start', 'playing', 'the', 'Premier', 'League']","[{'word': 'When', 'positive': '0', 'negative': '0'}, {'word': 'did', 'positive': '0', 'negative': '0'}, {'word': 'Arsenal', 'positive': '0', 'negative': '0'}, {'word': 'start', 'positive': '0.0', 'negative': '0.0'}, {'word': 'playing', 'positive': '0.0', 'negative': '0.0'}, {'word': 'the', 'positive': '0', 'negative': '0'}, {'word': 'Premier', 'positive': '0', 'negative': '0'}, {'word': 'League', 'positive': '0', 'negative': '0'}]",0.0,neutral
13,"Marvelous Nakamba was an unsed sub  as Aston Villa lost 0-2 to Liverpool 

can #astonvilla stay up?

 Next fixtures… https://t.co/Gtm65Apyy8",Marvelous Nakamba was an used sub as Baston Villa lost to Liverpool can stay up Next fixtures…,"['Marvelous', 'Nakamba', 'was', 'an', 'used', 'sub', 'as', 'Baston', 'Villa', 'lost', 'to', 'Liverpool', 'can', 'stay', 'up', 'Next', 'fixtures…']","[{'word': 'Marvelous', 'positive': '0', 'negative': '0'}, {'word': 'Nakamba', 'positive': '0', 'negative': '0'}, {'word': 'was', 'positive': '0', 'negative': '0'}, {'word': 'an', 'positive': '0', 'negative': '0'}, {'word': 'used', 'positive': '0.0', 'negative': '0.0'}, {'word': 'sub', 'positive': '0', 'negative': '0'}, {'word': 'as', 'positive': '0', 'negative': '0'}, {'word': 'Baston', 'positive': '0', 'negative': '0'}, {'word': 'Villa', 'positive': '0', 'negative': '0'}, {'word': 'lost', 'positive': '0.0', 'negative': '0.625'}, {'word': 'to', 'positive': '0', 'negative': '0'}, {'word': 'Liverpool', 'positive': '0', 'negative': '0'}, {'word': 'can', 'positive': '0', 'negative': '0'}, {'word': 'stay', 'positive': '0.0', 'negative': '0.0'}, {'word': 'up', 'positive': '0.05555555555555555', 'negative': '0.041666666666666664'}, {'word': 'Next', 'positive': '0', 'negative': '0'}, {'word': 'fixtures…', 'positive': '0', 'negative': '0'}]",-0.03594771241830065,negative
14,Xhaka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face. https://t.co/YQKVh6vRIt,Haka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face,"['Haka', 'fans', 'ironically', 'saying', 'Lacazatte', 'signing', 'is', 'the', 'black', 'day', 'for', 'Arsenal', 'club', 'with', 'a', 'straight', 'face']","[{'word': 'Haka', 'positive': '0', 'negative': '0'}, {'word': 'fans', 'positive': '0', 'negative': '0'}, {'word': 'ironically', 'positive': '0.125', 'negative': '0.25'}, {'word': 'saying', 'positive': '0', 'negative': '0'}, {'word': 'Lacazatte', 'positive': '0', 'negative': '0'}, {'word': 'signing', 'positive': '0', 'negative': '0'}, {'word': 'is', 'positive': '0', 'negative': '0'}, {'word': 'the', 'positive': '0', 'negative': '0'}, {'word': 'black', 'positive': '0.017857142857142856', 'negative': '0.26785714285714285'}, {'word': 'day', 'positive': '0.08333333333333333', 'negative': '0.0'}, {'word': 'for', 'positive': '0', 'negative': '0'}, {'word': 'Arsenal', 'positive': '0', 'negative': '0'}, {'word': 'club', 'positive': '0.025', 'negative': '0.0'}, {'word': 'with', 'positive': '0', 'negative': '0'}, {'word': 'a', 'positive': '0.1098598887481412', 'negative': '0.1470795836316571'}, {'word': 'straight', 'positive': '0.09722222222222222', 'negative': '0.1388888888888889'}, {'word': 'face', 'positive': '0.010416666666666666', 'negative': '0.03125'}]",-0.021552138914716617,negative
15,@OliverRMills Or literally just ask - the most powerful tool in a teacher's arsenal is admitting when you need help. Model what you preach,Or literally just ask the most powerful tool in a teacher s arsenal is admitting when you need help Morel what you preach,"['Or', 'literally', 'just', 'ask', 'the', 'most', 'powerful', 'tool', 'in', 'a', 'teacher', 's', 'arsenal', 'is', 'admitting', 'when', 'you', 'need', 'help', 'Morel', 'what', 'you', 'preach']","[{'word': 'Or', 'positive': '0', 'negative': '0'}, {'word': 'literally', 'positive': '0.0', 'negative': '0.0'}, {'word': 'just', 'positive': '0.375', 'negative': '0.0'}, {'word': 'ask', 'positive': '0.0', 'negative': '0.0'}, {'word': 'the', 'positive': '0', 'negative': '0'}, {'word': 'most', 'positive': '0.0', 'negative': '0.0'}, {'word': 'powerful', 'positive': '0.25', 'negative': '0.0'}, {'word': 'tool', 'positive': '0.0', 'negative': '0.0'}, {'word': 'in', 'positive': '0.0', 'negative': '0.0'}, {'word': 'a', 'positive': '0.1098598887481412', 'negative': '0.1470795836316571'}, {'word': 'teacher', 'positive': '0.125', 'negative': '0.0'}, {'word': 's', 'positive': '0.0', 'negative': '0.0'}, {'word': 'arsenal', 'positive': '0', 'negative': '0'}, {'word': 'is', 'positive': '0', 'negative': '0'}, {'word': 'admitting', 'positive': '0', 'negative': '0'}, {'word': 'when', 'positive': '0', 'negative': '0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'need', 'positive': '0.0', 'negative': '0.25'}, {'word': 'help', 'positive': '0.1875', 'negative': '0.0'}, {'word': 'Morel', 'positive': '0', 'negative': '0'}, {'word': 'what', 'positive': '0', 'negative': '0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'preach', 'positive': '0', 'negative': '0'}]",0.028273056744194964,positive
16,@nikospolydorou @Arsenal Bet you're great fun at party's,Met you re great fun at party s,"['Met', 'you', 're', 'great', 'fun', 'at', 'party', 's']","[{'word': 'Met', 'positive': '0', 'negative': '0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 're', 'positive': '0', 'negative': '0'}, {'word': 'great', 'positive': '0.08333333333333333', 'negative': '0.041666666666666664'}, {'word': 'fun', 'positive': '0.125', 'negative': '0.125'}, {'word': 'at', 'positive': '0.0', 'negative': '0.0'}, {'word': 'party', 'positive': '0.0', 'negative': '0.0'}, {'word': 's', 'positive': '0.0', 'negative': '0.0'}]",0.005208333333333332,positive
17,@Arsenal That’s awesome! Congratulations Nico!,That’s awesome Congratulations Nice,"['That’s', 'awesome', 'Congratulations', 'Nice']","[{'word': 'That’s', 'positive': '0', 'negative': '0'}, {'word': 'awesome', 'positive': '0', 'negative': '0'}, {'word': 'Congratulations', 'positive': '0', 'negative': '0'}, {'word': 'Nice', 'positive': '0', 'negative': '0'}]",0.0,neutral
18,i've been using the janitor skin in arsenal a lot idk why lol #robloxart https://t.co/C6b4A4ULDO,i ve been using the janitor skin in arsenal a lot ink why low,"['i', 've', 'been', 'using', 'the', 'janitor', 'skin', 'in', 'arsenal', 'a', 'lot', 'ink', 'why', 'low']","[{'word': 'i', 'positive': '0.0', 'negative': '0.0'}, {'word': 've', 'positive': '0', 'negative': '0'}, {'word': 'been', 'positive': '0', 'negative': '0'}, {'word': 'using', 'positive': '0', 'negative': '0'}, {'word': 'the', 'positive': '0', 'negative': '0'}, {'word': 'janitor', 'positive': '0.0', 'negative': '0.0'}, {'word': 'skin', 'positive': '0.0', 'negative': '0.0'}, {'word': 'in', 'positive': '0.0', 'negative': '0.0'}, {'word': 'arsenal', 'positive': '0', 'negative': '0'}, {'word': 'a', 'positive': '0.1098598887481412', 'negative': '0.1470795836316571'}, {'word': 'lot', 'positive': '0.0', 'negative': '0.16666666666666666'}, {'word': 'ink', 'positive': '0.0', 'negative': '0.0'}, {'word': 'why', 'positive': '0', 'negative': '0'}, {'word': 'low', 'positive': '0.0', 'negative': '0.1'}]",-0.021706168682155896,negative
19,@DavidLumansi Y always Arsenal 🙉🙉🏃,Y always Arsenal ,"['Y', 'always', 'Arsenal']","[{'word': 'Y', 'positive': '0', 'negative': '0'}, {'word': 'always', 'positive': '0.0', 'negative': '0.0'}, {'word': 'Arsenal', 'positive': '0', 'negative': '0'}]",0.0,neutral
20,@GeneraIAbz Loool why you cappin? Is this how much arsenal fans trigger you lot 😂 you man just won a game and you’r… https://t.co/lNZ7QsCBPg,Loool why you cuppin Is this how much arsenal fans trigger you lot  you man just won a game and you’r…,"['Loool', 'why', 'you', 'cuppin', 'Is', 'this', 'how', 'much', 'arsenal', 'fans', 'trigger', 'you', 'lot', 'you', 'man', 'just', 'won', 'a', 'game', 'and', 'you’r…']","[{'word': 'Loool', 'positive': '0', 'negative': '0'}, {'word': 'why', 'positive': '0', 'negative': '0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'cuppin', 'positive': '0', 'negative': '0'}, {'word': 'Is', 'positive': '0', 'negative': '0'}, {'word': 'this', 'positive': '0', 'negative': '0'}, {'word': 'how', 'positive': '0', 'negative': '0'}, {'word': 'much', 'positive': '0.09375', 'negative': '0.03125'}, {'word': 'arsenal', 'positive': '0', 'negative': '0'}, {'word': 'fans', 'positive': '0', 'negative': '0'}, {'word': 'trigger', 'positive': '0.0', 'negative': '0.0'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'lot', 'positive': '0.0', 'negative': '0.16666666666666666'}, {'word': 'you', 'positive': '0', 'negative': '0'}, {'word': 'man', 'positive': '0.020833333333333332', 'negative': '0.0'}, {'word': 'just', 'positive': '0.375', 'negative': '0.0'}, {'word': 'won', 'positive': '0.0', 'negative': '0.625'}, {'word': 'a', 'positive': '0.1098598887481412', 'negative': '0.1470795836316571'}, {'word': 'game', 'positive': '0.027777777777777776', 'negative': '0.05555555555555555'}, {'word': 'and', 'positive': '0', 'negative': '0'}, {'word': 'you’r…', 'positive': '0', 'negative': '0'}]",-0.018968133618791762,negative
21,Wish I wouldn't say so but arsenal wins or draws and Aston villa manage to get something out of united a draw at le… https://t.co/Sm00yS1ybL,Wish I wouldn t say so but arsenal wins or draws and Baston villa manage to get something out of united a draw at le…,"['Wish', 'I', 'wouldn', 't', 'say', 'so', 'but', 'arsenal', 'wins', 'or', 'draws', 'and', 'Baston', 'villa', 'manage', 'to', 'get', 'something', 'out', 'of', 'united', 'a', 'draw', 'at', 'le…']","[{'word': 'Wish', 'positive': '0', 'negative': '0'}, {'word': 'I', 'positive': '0', 'negative': '0'}, {'word': 'wouldn', 'positive': '0', 'negative': '0'}, {'word': 't', 'positive': '0.0', 'negative': '0.0'}, {'word': 'say', 'positive': '0.020833333333333332', 'negative': '0.0'}, {'word': 'so', 'positive': '0.0', 'negative': '0.0'}, {'word': 'but', 'positive': '0', 'negative': '0'}, {'word': 'arsenal', 'positive': '0', 'negative': '0'}, {'word': 'wins', 'positive': '0', 'negative': '0'}, {'word': 'or', 'positive': '0', 'negative': '0'}, {'word': 'draws', 'positive': '0', 'negative': '0'}, {'word': 'and', 'positive': '0', 'negative': '0'}, {'word': 'Baston', 'positive': '0', 'negative': '0'}, {'word': 'villa', 'positive': '0.0', 'negative': '0.0'}, {'word': 'manage', 'positive': '0', 'negative': '0'}, {'word': 'to', 'positive': '0', 'negative': '0'}, {'word': 'get', 'positive': '0.0625', 'negative': '0.03125'}, {'word': 'something', 'positive': '0', 'negative': '0'}, {'word': 'out', 'positive': '0.0', 'negative': '0.19318181818181818'}, {'word': 'of', 'positive': '0', 'negative': '0'}, {'word': 'united', 'positive': '0.25', 'negative': '0.25'}, {'word': 'a', 'positive': '0.1098598887481412', 'negative': '0.1470795836316571'}, {'word': 'draw', 'positive': '0.006944444444444444', 'negative': '0.0'}, {'word': 'at', 'positive': '0.0', 'negative': '0.0'}, {'word': 'le…', 'positive': '0', 'negative': '0'}]",-0.006854949411502256,negative
22,"Laca's first touch was on point for the 2nd goal was class, made it look too easy https://t.co/7WYjz8QNzU",Lack s first touch was on point for the nd goal was class made it look too easy,"['Lack', 's', 'first', 'touch', 'was', 'on', 'point', 'for', 'the', 'nd', 'goal', 'was', 'class', 'made', 'it', 'look', 'too', 'easy']","[{'word': 'Lack', 'positive': '0', 'negative': '0'}, {'word': 's', 'positive': '0.0', 'negative': '0.0'}, {'word': 'first', 'positive': '0.0', 'negative': '0.0'}, {'word': 'touch', 'positive': '0.078125', 'negative': '0.046875'}, {'word': 'was', 'positive': '0', 'negative': '0'}, {'word': 'on', 'positive': '0.03125', 'negative': '0.0'}, {'word': 'point', 'positive': '0.046875', 'negative': '0.0078125'}, {'word': 'for', 'positive': '0', 'negative': '0'}, {'word': 'the', 'positive': '0', 'negative': '0'}, {'word': 'nd', 'positive': '0', 'negative': '0'}, {'word': 'goal', 'positive': '0.0625', 'negative': '0.0'}, {'word': 'was', 'positive': '0', 'negative': '0'}, {'word': 'class', 'positive': '0.3125', 'negative': '0.0'}, {'word': 'made', 'positive': '0.08333333333333333', 'negative': '0.0'}, {'word': 'it', 'positive': '0', 'negative': '0'}, {'word': 'look', 'positive': '0.075', 'negative': '0.075'}, {'word': 'too', 'positive': '0', 'negative': '0'}, {'word': 'easy', 'positive': '0.4107142857142857', 'negative': '0.19642857142857142'}]",0.043010085978835974,positive
23,@curtisshaw9 @Arsenal I would like Doucouré,I would like Douceuré,"['I', 'would', 'like', 'Douceuré']","[{'word': 'I', 'positive': '0', 'negative': '0'}, {'word': 'would', 'positive': '0', 'negative': '0'}, {'word': 'like', 'positive': '0.46875', 'negative': '0.0'}, {'word': 'Douceuré', 'positive': '0', 'negative': '0'}]",0.1171875,positive
24,@Arsenal_212 @jillduddy24 I'm looking now,I m looking now,"['I', 'm', 'looking', 'now']","[{'word': 'I', 'positive': '0', 'negative': '0'}, {'word': 'm', 'positive': '0.0', 'negative': '0.0'}, {'word': 'looking', 'positive': '0', 'negative': '0'}, {'word': 'now', 'positive': '0.0', 'negative': '0.0'}]",0.0,neutral
25,@HajimeNoHamza Zoro will body your favorite and is the strongest how about that,Zero will body your favorite and is the strongest how about that,"['Zero', 'will', 'body', 'your', 'favorite', 'and', 'is', 'the', 'strongest', 'how', 'about', 'that']","[{'word': 'Zero', 'positive': '0', 'negative': '0'}, {'word': 'will', 'positive': '0.0', 'negative': '0.0'}, {'word': 'body', 'positive': '0.0', 'negative': '0.0'}, {'word': 'your', 'positive': '0', 'negative': '0'}, {'word': 'favorite', 'positive': '0', 'negative': '0'}, {'word': 'and', 'positive': '0', 'negative': '0'}, {'word': 'is', 'positive': '0', 'negative': '0'}, {'word': 'the', 'positive': '0', 'negative': '0'}, {'word': 'strongest', 'positive': '0', 'negative': '0'}, {'word': 'how', 'positive': '0', 'negative': '0'}, {'word': 'about', 'positive': '0.0', 'negative': '0.0'}, {'word': 'that', 'positive': '0', 'negative': '0'}]",0.0,neutral
26,@Pulisicszn4 @PastorFreddo @afcjxmes @arsenadam Isn’t it time for high school yet? Clubs like Arsenal have true his… https://t.co/5YBX6VieNh,Isn’t it time for high school yet Clubs like Arsenal have true his…,"['Isn’t', 'it', 'time', 'for', 'high', 'school', 'yet', 'Clubs', 'like', 'Arsenal', 'have', 'true', 'his…']","[{'word': 'Isn’t', 'positive': '0', 'negative': '0'}, {'word': 'it', 'positive': '0', 'negative': '0'}, {'word': 'time', 'positive': '0.1388888888888889', 'negative': '0.0'}, {'word': 'for', 'positive': '0', 'negative': '0'}, {'word': 'high', 'positive': '0.046875', 'negative': '0.046875'}, {'word': 'school', 'positive': '0.0', 'negative': '0.0'}, {'word': 'yet', 'positive': '0.25', 'negative': '0.0'}, {'word': 'Clubs', 'positive': '0', 'negative': '0'}, {'word': 'like', 'positive': '0.46875', 'negative': '0.0'}, {'word': 'Arsenal', 'positive': '0', 'negative': '0'}, {'word': 'have', 'positive': '0.0', 'negative': '0.25'}, {'word': 'true', 'positive': '0.3125', 'negative': '0.08333333333333333'}, {'word': 'his…', 'positive': '0', 'negative': '0'}]",0.06436965811965813,positive
27,@YC7__ Sign for the arsenal womens team n ill rep you 👀,Sign for the arsenal women team n ill rep you ,"['Sign', 'for', 'the', 'arsenal', 'women', 'team', 'n', 'ill', 'rep', 'you']","[{'word': 'Sign', 'positive': '0', 'negative': '0'}, {'word': 'for', 'positive': '0', 'negative': '0'}, {'word': 'the', 'positive': '0', 'negative': '0'}, {'word': 'arsenal', 'positive': '0', 'negative': '0'}, {'word': 'women', 'positive': '0', 'negative': '0'}, {'word': 'team', 'positive': '0.0', 'negative': '0.0'}, {'word': 'n', 'positive': '0.02466289151931414', 'negative': '0.034552121389254224'}, {'word': 'ill', 'positive': '0.03125', 'negative': '0.59375'}, {'word': 'rep', 'positive': '0.0', 'negative': '0.0'}, {'word': 'you', 'positive': '0', 'negative': '0'}]",-0.05723892298699401,negative
28,@EduardoHagn @Arsenal You read it wrong bro,You read it wrong bro,"['You', 'read', 'it', 'wrong', 'bro']","[{'word': 'You', 'positive': '0', 'negative': '0'}, {'word': 'read', 'positive': '0.0625', 'negative': '0.0'}, {'word': 'it', 'positive': '0', 'negative': '0'}, {'word': 'wrong', 'positive': '0.0625', 'negative': '0.5'}, {'word': 'bro', 'positive': '0', 'negative': '0'}]",-0.075,negative
29,"doing ARs takes so much out of me 😪 i put my entire arsenal (hands, tools, patience, soul) into them and i really h… https://t.co/ZncooHNErC",doing As takes so much out of me  i put my entire arsenal hands tools patience soul into them and i really h…,"['doing', 'As', 'takes', 'so', 'much', 'out', 'of', 'me', 'i', 'put', 'my', 'entire', 'arsenal', 'hands', 'tools', 'patience', 'soul', 'into', 'them', 'and', 'i', 'really', 'h…']","[{'word': 'doing', 'positive': '0', 'negative': '0'}, {'word': 'As', 'positive': '0', 'negative': '0'}, {'word': 'takes', 'positive': '0', 'negative': '0'}, {'word': 'so', 'positive': '0.0', 'negative': '0.0'}, {'word': 'much', 'positive': '0.09375', 'negative': '0.03125'}, {'word': 'out', 'positive': '0.0', 'negative': '0.19318181818181818'}, {'word': 'of', 'positive': '0', 'negative': '0'}, {'word': 'me', 'positive': '0', 'negative': '0'}, {'word': 'i', 'positive': '0.0', 'negative': '0.0'}, {'word': 'put', 'positive': '0.041666666666666664', 'negative': '0.0'}, {'word': 'my', 'positive': '0', 'negative': '0'}, {'word': 'entire', 'positive': '0.0', 'negative': '0.0'}, {'word': 'arsenal', 'positive': '0', 'negative': '0'}, {'word': 'hands', 'positive': '0', 'negative': '0'}, {'word': 'tools', 'positive': '0', 'negative': '0'}, {'word': 'patience', 'positive': '0', 'negative': '0'}, {'word': 'soul', 'positive': '0.0', 'negative': '0.0'}, {'word': 'into', 'positive': '0', 'negative': '0'}, {'word': 'them', 'positive': '0', 'negative': '0'}, {'word': 'and', 'positive': '0', 'negative': '0'}, {'word': 'i', 'positive': '0.0', 'negative': '0.0'}, {'word': 'really', 'positive': '0', 'negative': '0'}, {'word': 'h…', 'positive': '0', 'negative': '0'}]",-0.0038702239789196314,negative
