,tweets,neg_score,neu_score,pos_score,com_score,sentiment
37,Class player with a class attitude delighted he has a new contract Arsenal ,0.0,0.784,0.216,0.5106,positive
38,Rod Ty so much always,0.0,0.606,0.394,0.3818,positive
39,big games left tonight Anychance of one more betbuilder ,0.0,1.0,0.0,0.0,neutral
40,Run fact Liverpool would be pts above arsenal if only Liverpool’s home games counted this season…,0.0,1.0,0.0,0.0,neutral
41,It will end in years,0.0,1.0,0.0,0.0,neutral
42,Congratulations pipe,0.0,0.204,0.796,0.5994,positive
43,mayowa You too try to assimilate what I said cause I don’t remember putting in the words “better tha…,0.0,1.0,0.0,0.0,neutral
44,Talent wise he s good enough for a top side maybe not a title challenging side More…,0.06,0.499,0.441,0.8464,positive
45,It s imperative that we extend Aubameyang s contract to help develop our academy youths and also he can attract goo…,0.0,0.723,0.277,0.7096,positive
46,Ox has a patch of bad form and Arsenal fans pipe up like he wouldn t walk into their mid table side 🤷‍,0.125,0.786,0.089,-0.25,negative
47,No matter the event my go to advice is to have phrases or topics to say or pivot to beforehand so you’re prepared …,0.043,0.871,0.086,0.2742,positive
48,Arsenal fan leave him,0.218,0.364,0.418,0.2732,positive
49,Arsenal are heavily interested in Allan Saint Maximin They have been in contact with the players camp besport,0.0,0.863,0.137,0.4019,positive
50,What a beautiful week,0.0,0.435,0.565,0.5994,positive
51,Watford have Man City and arsenal last two games If we’re around the same points as them by then I believe we sta…,0.0,1.0,0.0,0.0,neutral
52,Arsenal fans when they were celebrating Pipe having more goal contributions than Daniel James type beat ,0.0,0.802,0.198,0.5719,positive
53,Arsenal,0.0,1.0,0.0,0.0,neutral
54,Could probably start for arsenal trf,0.0,1.0,0.0,0.0,neutral
55,,0.0,1.0,0.0,0.0,neutral
56,Like arsenal defense oh nothing is more scary than arsenal defense,0.0,0.456,0.544,0.7465,positive
57,You either rate Lo Cels or you haven’t watched him he’s unreal would walk into Arsenal’s team and would be your…,0.0,1.0,0.0,0.0,neutral
58,Congrats ,0.0,0.0,1.0,0.5267,positive
59,Remember him giving Radford the cross for his header against Arsenal,0.0,0.806,0.194,0.34,positive
60,Lewis is an arsenal fan What were you saying,0.0,0.777,0.223,0.3182,positive
61,You do remember that you have Man City in semis right,0.0,1.0,0.0,0.0,neutral
62,Ff cup final Arsenal vs Man Ut,0.0,0.682,0.318,0.4215,positive
63,You mean he doesn’t deserve to be a dad 🤔,0.0,1.0,0.0,0.0,neutral
64,Can t wait to see our activities my worry is are the Kroenkes re…,0.182,0.818,0.0,-0.4404,negative
65,Good news from hospital,0.0,0.508,0.492,0.4404,positive
66,MW He should go to where Arsenal 🤣🤣,0.0,0.701,0.299,0.7506,positive
67,He didn t prefer playing on the wing in Arsenal With him playing in midfield you could see so much mor…,0.0,0.841,0.159,0.3818,positive
68,Have more wins than United and Arsenal combined,0.0,0.46,0.54,0.7939,positive
69,Well i feel like he want to stay and play for the Club but Nobody knows it s both Arsenal amp Madrid ,0.0,0.745,0.255,0.4854,positive
70,McAndrews Love the energy he brings,0.0,0.388,0.612,0.743,positive
71,why are you friends with arsenal fans — why wouldn’t i be as long as they can take the banter i’m here for any f…,0.0,0.886,0.114,0.4767,positive
72,Awesome ,0.0,0.0,1.0,0.6249,positive
73,He’s off to Arsenal I’m afraid,0.0,1.0,0.0,0.0,neutral
74,Even Woolwich has an even smaller divide The Arsenal Complex amp Woolwich Town Centre It’s walled off …,0.0,1.0,0.0,0.0,neutral
75,Get on this and do an Arsenal lad a favour,0.0,0.756,0.244,0.4404,positive
76,Arsenal hive undefeated ,0.0,1.0,0.0,0.0,neutral
77,Trained with the Arsenal training kit gt gt,0.0,0.588,0.412,0.4939,positive
78,Congratulations Nice,0.0,0.0,1.0,0.7717,positive
79,In a space of a week Arsenal has had Sake score a goal Man Ut has had Greenwood score goals Man City has had Woden…,0.0,1.0,0.0,0.0,neutral
80,S HAPPY SUGAR RA DAY Clean house mile run and Arsenal win good vibes only,0.0,0.443,0.557,0.9304,positive
81,Way better than shitclub ARSENAL,0.0,0.58,0.42,0.4404,positive
82,Over green total commitment,0.0,0.509,0.491,0.4391,positive
83,Traffic Why everyone saying Arsenal ,0.0,1.0,0.0,0.0,neutral
84,Why can t Arsenal take David Silva on a free tho I would take him without blinking twice Use him as a role model to Sake Willock SR,0.0,0.891,0.109,0.5106,positive
85,I follow back,0.0,1.0,0.0,0.0,neutral
86,I already support Arsenal utu nimekuja straight to the winning team tu hakuna negotiation ,0.0,0.579,0.421,0.7906,positive
87,Phenomena indeed🤫,0.0,1.0,0.0,0.0,neutral
88,James Rodriguez to Arsenal on still,0.0,1.0,0.0,0.0,neutral
89,Who should get I personally like Cartwell and or Greatish as possibly cheaper options to Caballos in midfield,0.0,0.872,0.128,0.3612,positive
90,Not an Arsenal player my g,0.0,1.0,0.0,0.0,neutral
91,This guy is very good need more playing time,0.0,0.57,0.43,0.647,positive
92,Arsenal has a chance of replacing Chelsea in the To than United based on remaining fixtures,0.0,0.745,0.255,0.5859,positive
93,Arsenal Cash in on him  He s not Arsenal s entity is he,0.0,1.0,0.0,0.0,neutral
94,Year I am still go to more Arsenal games than all you fanboys who live round the corner,0.0,1.0,0.0,0.0,neutral
95,I’m going into hiding if both arsenal and saints finish above us Legit my worst nightmare  cheers,0.269,0.598,0.132,-0.4939,negative
96,Chelsea fans hail Ashler Cole a ’true blue’ after Arsenal ‘snub’ on To,0.0,0.902,0.098,0.0772,positive
97,Looks like Stones played his last game for City Arsenal and Evertor rumoured to be interested,0.0,0.631,0.369,0.765,positive
98,there’s a hacker in this arsenal I forgot his username,0.0,1.0,0.0,0.0,neutral
99,You re not funny g,0.376,0.624,0.0,-0.3412,negative
100,I live pretty close to that place,0.0,0.652,0.348,0.4939,positive
101,Loool only big game Lacazette has played in for Arsenal was the Europa League semi final in …,0.0,0.876,0.124,0.34,positive
102,arsenal riven mod boosts any stat on anything the possibilities are endless ply dont make it a thing k tax,0.0,0.892,0.108,0.3182,positive
103,Give from Season continues We are unbeaten in all competitions could we have an Invincible Season Joy…,0.0,0.833,0.167,0.4939,positive
104,How you expect Arsenal to lose a Twitter poll ,0.252,0.748,0.0,-0.4019,negative
105,A decent week to announce the deals,0.0,1.0,0.0,0.0,neutral
106,Congratulations man🥂,0.0,0.435,0.565,0.5994,positive
107,Arsenal,0.0,1.0,0.0,0.0,neutral
108,Why is the British Media after this man though Focus on Arsenal and United,0.0,0.823,0.177,0.4215,positive
109,In a scale of where would you rank Bucayo Sake s performance at Arsenal this season,0.0,1.0,0.0,0.0,neutral
110,Reminds me of the pinger scored against Arsenal in the demolition,0.0,1.0,0.0,0.0,neutral
111,Will Arsenal sign both Upamecano Party this summer,0.0,0.722,0.278,0.4019,positive
112,Congratulation to him ,0.0,0.339,0.661,0.5994,positive
113,Times change mate reputation changes I’m sorry but arsenal are not as big as they…,0.076,0.924,0.0,-0.0387,neutral
114,Boy or girl Or both,0.0,1.0,0.0,0.0,neutral
115,worry about your having another below par season,0.293,0.707,0.0,-0.4404,negative
116,Crucial remaining games for the boys Let s keep the momentum How many points we ll get,0.0,1.0,0.0,0.0,neutral
117,Arsenal,0.0,1.0,0.0,0.0,neutral
118,Would Lane score goals at Arsenal Absolutely not Would Alba score more at Liverpool without question,0.0,1.0,0.0,0.0,neutral
119,I follow back,0.0,1.0,0.0,0.0,neutral
120,Polls no give us assignment wey no concyne us beg Me mases I go kuku prefer make we no smell…,0.28,0.72,0.0,-0.6808,negative
121,still has more trophies in the past decade than arsenal 🤣,0.0,0.814,0.186,0.4939,positive
122,Kola low you this arsenal fool ,0.556,0.444,0.0,-0.6124,negative
123,I love Arsenal,0.0,0.323,0.677,0.6369,positive
124,Supposed to be bang on this and both Martin amp Roan are The Arsenal ,0.0,1.0,0.0,0.0,neutral
125,quiet Come on man,0.0,1.0,0.0,0.0,neutral
126,This is such an underrated goal For a man who hasn’t scored away from home in the league since last February he t…,0.0,1.0,0.0,0.0,neutral
127,I won t be a sooner in Jesus name I ll continue to declare the works of the lord in the land of the living,0.0,0.866,0.134,0.5719,positive
128,need points out of to get for the big Brighton A Burley H Arsenal A Chelsea H Newscast…,0.0,1.0,0.0,0.0,neutral
129,I’ve always said that I don’t see a massive improvement compared to his time at Arsenal He had great g…,0.0,0.717,0.283,0.7964,positive
130,arsenal v reign rematch very needed imo i wanna see allied long square up to tatie mccabe ,0.0,1.0,0.0,0.0,neutral
131,Jasmin Armed We shall rejoice with you Arsenal hatuna cheki,0.0,0.756,0.244,0.4404,positive
132,Man U and Arsenal disappointed u yesterday I wonder how u felt,0.22,0.78,0.0,-0.4767,negative
133,Congratulations Pipe,0.0,0.204,0.796,0.5994,positive
134,arc How’s th place looking rn We left it just for you to sit hope it’s warm there,0.0,0.769,0.231,0.5859,positive
135,Arsenal could sell French midfielder Matter Guendouzi France forward Alexander Lacazette or Uruguay midi…,0.0,0.922,0.078,0.0258,neutral
136,Arsenal fan,0.0,0.303,0.697,0.3182,positive
137,As much as I want him to at Arsenal he is going to A Milan,0.0,0.915,0.085,0.0772,positive
138,So we d be still above Arsenal 🤣,0.0,0.775,0.225,0.4939,positive
139,U mean points above relegation brush y u getting Arsenal here,0.0,1.0,0.0,0.0,neutral
140,How many golden boots did Henry get at Arsenal and how…,0.0,1.0,0.0,0.0,neutral
141,A brighton H burley A arsenal H chelsea A newcastle Last games are a bit dodgy But we should be breaking city record,0.062,0.938,0.0,-0.1154,negative
142,when the other side did this people ignored now since black men are showing they too have arsenal it’s…,0.113,0.887,0.0,-0.3182,negative
143,Villa s remaining fixtures Man Ut H C Palace H Evertor A Arsenal H West Ham A All tough matches for t…,0.067,0.933,0.0,-0.128,negative
144,How old were u when u discovered FIFA means football Isn For Arsenal,0.0,1.0,0.0,0.0,neutral
145,Luck Its inches to short to route through the back So there s gonna be a ugly ass wire going through the case,0.228,0.671,0.101,-0.5859,negative
146,CONGRATS PEPE,0.0,0.227,0.773,0.5267,positive
147,Rmian brewster has more trophies in the past years than arsenal,0.0,1.0,0.0,0.0,neutral
148,Running down the wings for our women’s team,0.0,1.0,0.0,0.0,neutral
149,forward Nicholas Pipe and his partner welcomed their first child yesterday  Congratulations ,0.0,0.613,0.387,0.743,positive
150,Nairabian Arsenal loss,0.535,0.465,0.0,-0.3182,negative
151,Www Congratulations to his wife and him 🥳,0.0,0.519,0.481,0.7579,positive
152,Congrats bro,0.0,0.227,0.773,0.5267,positive
153,Congrats,0.0,0.0,1.0,0.5267,positive
154,chelsea fans tweaking for miss long purely because scar who she replied to is an arsenal fan pus help,0.071,0.708,0.221,0.5267,positive
155,Looks like we need to get points from Arsenal Chelsea and Newcastle to break the point mark,0.0,0.865,0.135,0.3612,positive
156,There were not that many clubs Back then All the top Lay…,0.0,0.859,0.141,0.2023,positive
157,I’m just gonna find a way to set off the United States’ nuclear arsenal because if that happens th…,0.0,0.865,0.135,0.4215,positive
158,Man fuck that I still have hope Arsenal will finish in the top or,0.182,0.573,0.245,0.0516,positive
159,Pipe scores once again,0.0,1.0,0.0,0.0,neutral
160,He did,0.0,1.0,0.0,0.0,neutral
161,Funny,0.0,0.0,1.0,0.4404,positive
162,This perseverance spirit,0.0,0.541,0.459,0.1779,positive
163,How could you forget to mention Arsenal trying to walk it in again ,0.137,0.863,0.0,-0.2263,negative
164,Kier Swarmer would be pleased then ,0.0,0.633,0.367,0.4404,positive
165,Clot can stimulate something in a player n goes both ways it s not about this club and that club Sanchez numbers r…,0.0,0.921,0.079,0.2263,positive
166,Pus should give him a yrs contract,0.0,1.0,0.0,0.0,neutral
167,that would be a great arsenal skin,0.0,0.594,0.406,0.6249,positive
168,We found the new Henry and Van Persia before Arsenal sksksksksk,0.0,1.0,0.0,0.0,neutral
169,Coming to Arsenal,0.0,1.0,0.0,0.0,neutral
170,Sake from arsenal,0.0,1.0,0.0,0.0,neutral
171,kwaku t Oh yeah Arsenal is gargantuan,0.0,0.732,0.268,0.296,positive
172,He’s coming Arsenal,0.0,1.0,0.0,0.0,neutral
173,Welcome to Arsenal 🤗,0.0,0.341,0.659,0.7003,positive
174,Songs ,0.0,1.0,0.0,0.0,neutral
175,Smush Well Him low your ill collection cute too Well 🥱🥱🥱 and my arsenal too crazy for a take over,0.256,0.491,0.253,-0.0258,neutral
176,Pipe Jr is here ,0.0,1.0,0.0,0.0,neutral
177,What is Mike Artema’s Arsenal An Athletic original written by Ormstein and …,0.0,0.839,0.161,0.3182,positive
178,I look at it a bit like arsenal and Puton town,0.0,0.8,0.2,0.3612,positive
179,Congratulations mate,0.0,0.204,0.796,0.5994,positive
180,I don’t dismiss any method the republicans use to diminish the votes for Bien this is just one more tool in their…,0.0,1.0,0.0,0.0,neutral
181,Good one,0.0,0.256,0.744,0.4404,positive
182,Or it could be a girl and we can sign her up to the women’s team,0.0,1.0,0.0,0.0,neutral
183,IzIs Spurs and Leicester are out of form they have more chance against them than we do against arsenal and Man U,0.0,0.902,0.098,0.3167,positive
184,I second that Gives me that same kind of vibe rn Good enough for Evertor Wolves Spurs Arsenal maybe…,0.0,0.861,0.139,0.4404,positive
185,G u support arsenal and ur telling me I like average players Ur team stinks a…,0.099,0.644,0.257,0.4939,positive
186,Baby nice ,0.0,0.263,0.737,0.4215,positive
187,Barcelona arsenal Chelsea,0.0,1.0,0.0,0.0,neutral
188,Before their game today Arsenal and Liverpool had the exact same goals for vs goals against in Arte…,0.0,1.0,0.0,0.0,neutral
189,And your club isn’t An Arsenal Fan spending his Sunday evening’s on Evertor’s twitter,0.0,0.85,0.15,0.3182,positive
190,Welcome at,0.0,0.25,0.75,0.4588,positive
191,He tweeted about planting trees everytime Arsenal wins i think last month,0.0,0.748,0.252,0.5719,positive
192,has been rewarded for their good work at Arsenal by winning English Premier Division Manager of the Month for August,0.0,0.642,0.358,0.8591,positive
193,Niggas stealing the hat swag so I gotta get a new arsenal 🤧,0.337,0.663,0.0,-0.7269,negative
194,Welcome to Fatherhood club Nature playing is expected of you henceforth no more Secondary School playing…,0.11,0.65,0.24,0.3818,positive
195,you support arsenal mate whens the last time you won something,0.0,0.584,0.416,0.7506,positive
196,Above Arsenal,0.0,1.0,0.0,0.0,neutral
197,Buendia is no brainer man I want him at arsenal at least as a Squad player would come in for peanuts,0.098,0.844,0.058,-0.2263,negative
198, I m selling you across boarders bro Big,0.0,1.0,0.0,0.0,neutral
199,Why do they link with almost all players,0.0,1.0,0.0,0.0,neutral
200,Arsenal fans celebrating we have more known youngers because they can actually get game time trophy,0.0,0.802,0.198,0.5719,positive
201,Why lipoo be arsenal,0.0,1.0,0.0,0.0,neutral
202,Artema Lacazette really needed that goal Our head coach discusses our French forward and the roles that Shkodra…,0.0,1.0,0.0,0.0,neutral
203,I like the way Sake reacted he was rewarded Mike Artema discusses our teenage forward s goal and performance …,0.0,0.759,0.241,0.6908,positive
204,Lacazette on… the win Sake and the defence Our French striker reacts to a hard fought victory at Wolves and the…,0.143,0.656,0.201,0.3612,positive
205,Great coaches don’t risk an important player in an already won match It’s not a Guess u support Arsenal,0.074,0.493,0.433,0.8807,positive
206,cause i know not the ceo of harassing arsenal players talking,0.259,0.741,0.0,-0.5423,negative
207, I hate Spurs so much,0.481,0.519,0.0,-0.5719,negative
208,cloak Arsenal ne,0.0,1.0,0.0,0.0,neutral
209,It’s not a conflict of interest they all went on the show before making m…,0.0,0.724,0.276,0.6075,positive
210,The fact that Weak Oil at Arsenal is better than any Pogba season kills me man ,0.287,0.583,0.13,-0.5423,negative
211,cong pipe,0.0,1.0,0.0,0.0,neutral
212,Have you seen Arsenal 🥰,0.0,0.49,0.51,0.8074,positive
213,session with Ex Arsenal under s RCT now current Reading academy player Davina Spinoza ,0.0,1.0,0.0,0.0,neutral
214,Well I’d be worried if he became a mother,0.195,0.619,0.186,-0.0258,neutral
215,Year don t think Origin good enough th Brewsters coming back so I d say someone like Aubameyang if…,0.0,0.759,0.241,0.6597,positive
216,Arsenal lt lt Liverpool i’m wrong,0.383,0.617,0.0,-0.4767,negative
217,He scored on his debut against arsenal He scored a brace against Chelsea in the u…,0.0,1.0,0.0,0.0,neutral
218,Congrats Pipe welcome jnr gunner,0.0,0.319,0.681,0.7506,positive
219,Good detailed description of the match Glad you highlighted Mainland Miles contribution He has…,0.0,0.67,0.33,0.7096,positive
220,How many C medals with Arsenal,0.0,1.0,0.0,0.0,neutral
221,New dad in town congratulations,0.0,0.506,0.494,0.5994,positive
222,Arsenal,0.0,1.0,0.0,0.0,neutral
223,Semi Martinez levels Spurs for clean sheets this season,0.0,0.748,0.252,0.4019,positive
224,Big a little deeper and you’ll realise Mattéo Guendouzi’s exclusion from Artema’s Arsenal squad has been a long ti…,0.109,0.891,0.0,-0.296,negative
225,Th fair enough if you d take him because he suits arsenal more but mane is the much…,0.0,0.912,0.088,0.1655,positive
226,Eurychus Arsenal fans piping up again,0.0,1.0,0.0,0.0,neutral
227,Man United And Arsenal Fans When The Champion s League Is Mentioned In The Office,0.0,0.66,0.34,0.7717,positive
228,Arsenal fans voted for you come to the carpet ,0.0,1.0,0.0,0.0,neutral
229,Im about to record my o…,0.0,1.0,0.0,0.0,neutral
230,Underrated comment ,0.0,1.0,0.0,0.0,neutral
231,Having a bet on the Arsenal v Leicester game Get your bet refunded up to £ as a Free bet with…,0.0,0.858,0.142,0.5106,positive
232,Absolutely brilliant ,0.0,0.196,0.804,0.624,positive
233,Arsenal are shit against top teams artetas tactics are too progressive Need to play an…,0.182,0.606,0.212,-0.1027,negative
234,Still better than Arsenal,0.0,0.508,0.492,0.4404,positive
235,He s better than our current midfielders He s so brilliant on the ball I would like we cash in on him,0.0,0.649,0.351,0.8825,positive
236,Announce Pipe J,0.0,1.0,0.0,0.0,neutral
237,glad He beats his wife when arsenal lose,0.231,0.513,0.256,0.0772,positive
238,shame Shame so you’re still supporting arsenal,0.464,0.299,0.237,-0.4654,negative
239,Congrats Nice can t wait to know how that feels,0.0,0.563,0.437,0.7351,positive
240,Come rain or shine,0.0,1.0,0.0,0.0,neutral
241,Arsenal,0.0,1.0,0.0,0.0,neutral
242,He s arsenal bound,0.0,1.0,0.0,0.0,neutral
243,ever,0.0,1.0,0.0,0.0,neutral
244,Just have it at the back of your mind that we ll be active in the t…,0.0,0.856,0.144,0.4019,positive
245,arsenal fans They also think Pipe is better than Pulisic omao,0.0,0.775,0.225,0.4404,positive
246,Greatest Pp season by points Man U City Man U …,0.0,0.704,0.296,0.6369,positive
247,also tatie plays for arsenal babe can’t have you out here looking crazy girlie ,0.146,0.732,0.122,-0.1027,negative
248,This is nine months ago,0.0,1.0,0.0,0.0,neutral
249,Don’t expect too much from Arsenal fans brother ,0.0,1.0,0.0,0.0,neutral
250,It was two or three years late th,0.0,1.0,0.0,0.0,neutral
251,Arsenal confident of completing Thomas Party transfer as key duo approve swoop,0.0,0.629,0.371,0.7096,positive
252,Arsenal in reverse,0.0,1.0,0.0,0.0,neutral
253,the girl is a dash and arsenal fan so i will say that allied long is right,0.0,0.874,0.126,0.3182,positive
254,Cos I know it s only a Manchester united fan that ll say that Manchester Derby…,0.0,0.733,0.267,0.6249,positive
255,He wouldn’t leave for arsenal though possibly Napoli but who knows hoping the takeover happens so th…,0.056,0.758,0.187,0.5574,positive
256,Congratulations man,0.0,0.204,0.796,0.5994,positive
257,Arsenal fans part is so damn accurate And oh the Ronald fanboys too ,0.225,0.775,0.0,-0.541,negative
258,Happy to be a sooner we are made of black and white,0.0,0.748,0.252,0.5719,positive
259,Eurychus na his wife does,0.0,1.0,0.0,0.0,neutral
260,Classenal ,0.0,1.0,0.0,0.0,neutral
261,Collection Of Home Programmes,0.0,1.0,0.0,0.0,neutral
262,Unlucky Lacazette His career only went downhill after this,0.0,1.0,0.0,0.0,neutral
263,Blacklist U are a complete 🤡 sorry Some arsenal fans and dere opinions are funny who is holding ,0.061,0.802,0.137,0.3818,positive
264,sports I know u dey beef us cos na only arsenal get such unique title in England,0.0,1.0,0.0,0.0,neutral
265,Congratulations Nice,0.0,0.0,1.0,0.7717,positive
266,I never watched golf or NASCAR much before but now watch both religiously And Premiere League Arsenal,0.0,1.0,0.0,0.0,neutral
267,One achievement since joining Arsenal,0.0,1.0,0.0,0.0,neutral
268,Thought his first child was vv,0.0,1.0,0.0,0.0,neutral
269,watch out for newcastle and arsenal tho,0.0,1.0,0.0,0.0,neutral
270,Arsenal for life,0.0,1.0,0.0,0.0,neutral
271,Miller Just know my husband Ex military and I are not part of any group…,0.0,1.0,0.0,0.0,neutral
272, this could be the guy your looking for,0.0,1.0,0.0,0.0,neutral
273,Not Spurs Arsenal and one linked with arsenal what are the odds,0.0,1.0,0.0,0.0,neutral
274,We ve got this,0.0,1.0,0.0,0.0,neutral
275,Please vote guys,0.0,0.465,0.535,0.3182,positive
276,Congratulations,0.0,0.0,1.0,0.5994,positive
277,Congratulations,0.0,0.0,1.0,0.5994,positive
278,allow it bro he’s a fashun guy u think I’d go out of my way to watch arsenal low,0.1,0.81,0.09,-0.0516,negative
279,What s this,0.0,1.0,0.0,0.0,neutral
280,He’s an Arsenal fan he’s coming to the Emirates,0.0,0.777,0.223,0.3182,positive
281,announce Pipe jr,0.0,1.0,0.0,0.0,neutral
282,Would love him at Arsenal bossing the space in front of the back four,0.0,0.756,0.244,0.6369,positive
283,Welcome to The Arsenal,0.0,0.5,0.5,0.4588,positive
284, Juventas to test Arsenal resolve with Oil bid,0.0,0.729,0.271,0.3818,positive
285,Baston Villa came for a point at least but Curtis Jones and Lane did it for Liverpool Leicester won it with again…,0.0,0.806,0.194,0.7227,positive
286,BLESSED CHILD,0.0,0.204,0.796,0.5994,positive
287,Let him go on maternity leave for the next months,0.118,0.882,0.0,-0.0516,negative
288,Contrat Nice on been a father God Guidance won t seize in ur family,0.0,0.561,0.439,0.8225,positive
289,Congratulations to Nicholas Pipe and his wife on the birth of their first child ,0.0,0.769,0.231,0.5994,positive
290,You do realise that Villa have to play Ut Arsenal and Evertor No points there pa…,0.118,0.753,0.129,0.0516,positive
291,Welcome to Arsenal bro can’t wait to have you ,0.0,0.727,0.273,0.4588,positive
292,It’s Arsenal’s worst season in years yet the Spuds still somehow find a way to outbanter us You can’t write this,0.17,0.83,0.0,-0.6249,negative
293,Basically this means what cars with W engine maybe stronger the current Ferrary engine Ana this feels like we…,0.0,0.769,0.231,0.6249,positive
294,Throw Dominie in the twist because we are mighty Arsenal,0.0,1.0,0.0,0.0,neutral
295,We love you at Arsenal Thomas,0.0,0.543,0.457,0.6369,positive
296,Congrats to Pipe,0.0,0.37,0.63,0.5267,positive
297,samian Madrid sold cr arsenal sold Henry at his prime,0.0,1.0,0.0,0.0,neutral
298,If I was Arsenal’s chief executive this would be my plan Sell Mustafi Haka Öoil even if we pay of his w…,0.062,0.938,0.0,-0.1027,negative
299,Sufi Have you never heard of Kroenke The man who runs our cl…,0.0,1.0,0.0,0.0,neutral
300,Sorry Arsenal ,0.565,0.435,0.0,-0.0772,negative
301,Premier League Update – Arsenal secure vital win at Wolves Manchester United smash FIVE past Bournemouth and Chess…,0.0,0.556,0.444,0.8807,positive
302,Congratulations Nice,0.0,0.0,1.0,0.7717,positive
303,We can’t afford to play like the first half today against them and Arsenal and Chelsea if we do we’ll get hammered ,0.0,0.803,0.197,0.5994,positive
304,Can’t think of any that played for Arsenal or Chelsea either,0.0,0.806,0.194,0.34,positive
305,got Spurs players arsenal and one linked with arsenal,0.0,1.0,0.0,0.0,neutral
306,If arsenal actually get a C and midfielders next season might be one the most competitive prem seasons ever,0.0,0.9,0.1,0.2484,positive
307,But buendia in an Arsenal team and he d be right up there with the assists,0.0,1.0,0.0,0.0,neutral
308,announce Aubameyang contract extension and the signing of Thomas Party done and dusted ,0.0,0.816,0.184,0.4019,positive
309,wow what a piece of analysis on world cup winner Paul Pogba from an Aren…,0.0,0.631,0.369,0.8225,positive
310,Had a great time doing the podcast tonight with and a returning…,0.0,0.728,0.272,0.6249,positive
311,Arsenal purchase Mason Greenwood,0.0,1.0,0.0,0.0,neutral
312,Clubs are rebuilding Look at Man United Man City Liverpool Chelsea Pig Bayer Take Bubo to Madrid Even Are…,0.0,0.865,0.135,0.4215,positive
313,Congratulations to you Nicholas Pipe,0.0,0.506,0.494,0.5994,positive
314,A new sooner on the cards,0.0,1.0,0.0,0.0,neutral
315,Download Highlights Wolves vs Arsenal,0.0,1.0,0.0,0.0,neutral
