,Unnamed: 0,user,location,tweet,favorite,cleaned_tweets
74,74,livemethodical,London,@ronkelawal Even Woolwich has an even smaller divide. The Arsenal Complex &amp; Woolwich Town Centre. It’s walled off.… https://t.co/vB0yAco3NP,0,Even Woolwich has an even smaller divide The Arsenal Complex amp Woolwich Town Centre It’s walled off …
75,75,RegBlackScarf,London,"https://t.co/zLh76qvI9P

Get on this and do an Arsenal lad a favour",0,Get on this and do an Arsenal lad a favour
76,76,DesiGoonerMD,"Maryland, USA",@Thomaspartey22 @EMYAfrica Arsenal hive undefeated 😎,0,Arsenal hive undefeated 
77,77,YC7__,emirates,Trained with the Arsenal training kit &gt;&gt; https://t.co/Fvq6Q5d2tK,89,Trained with the Arsenal training kit gt gt
78,78,bomaboyle,"Port Harcourt, Nigeria",@Arsenal Congratulations Nico,0,Congratulations Nice
79,79,fortune_natus,On a higher ground,"In a space of a week
Arsenal has had Saka score a goal
Man Utd has had Greenwood score goals
Man City has had Foden… https://t.co/UDRGl3OTvL",0,In a space of a week Arsenal has had Sake score a goal Man Ut has had Greenwood score goals Man City has had Woden…
80,80,thomashinojosa_,,"S- HAPPY SUGAR RAY DAY!!! Clean house, 4 mile run, and Arsenal win!!! good vibes only #everymorning #fly",0,S HAPPY SUGAR RA DAY Clean house mile run and Arsenal win good vibes only
81,81,globoycupid,"Galt, CA",@SteveWa92027601 @ManCity Way better than shitclub ARSENAL!!,0,Way better than shitclub ARSENAL
82,82,OlusojiOlumuyi0,"Oyo, Ibadan, Nigeria","@Arsenal Ever green, total commitment",0,Over green total commitment
83,83,Abayoro_02,"Lagos / Abuja, Nigeria",@Gidi_Traffic @gidifeedtv Why everyone saying Arsenal 😅,0,Traffic Why everyone saying Arsenal 
84,84,SPARKLYN_SHY,Privet Drive,"Why can't Arsenal take David Silva on a free tho. I would take him without blinking twice. Use him as a role model to Saka, Willock, ESR.",0,Why can t Arsenal take David Silva on a free tho I would take him without blinking twice Use him as a role model to Sake Willock SR
85,85,Arsenal__Crazy,"Dhaka, Bangladesh",@justclassreally I follow back,0,I follow back
86,86,gvn_kisaka,,"@ndegwapower @ChombaOfficial I already support Arsenal, uku nimekuja straight to the winning team tu, hakuna negotiation 😂😂😂",0,I already support Arsenal utu nimekuja straight to the winning team tu hakuna negotiation 
87,87,c_kanje,,@Arsenal @LacazetteAlex Phenomenal indeed✌️🤫,0,Phenomena indeed🤫
88,88,JosephJanerique,"Stockholm, Sweden",James Rodriguez to Arsenal on still,0,James Rodriguez to Arsenal on still
89,89,TDGHumphrey,"Texas, USA",Who should @Arsenal get? I personally like Cantwell and or Grealish as possibly cheaper options to Ceballos in midfield.,0,Who should get I personally like Cartwell and or Greatish as possibly cheaper options to Caballos in midfield
90,90,_sakalinho,,@grimptinho Not an Arsenal player my g,1,Not an Arsenal player my g
91,91,ejeh_andy,"Lagos, Nigeria","@Arsenal @LacazetteAlex This guy is very good, need more playing time",0,This guy is very good need more playing time
92,92,dacoldest_ncube,Rack City Beach,Arsenal has a chance of replacing Chelsea in the Top 5 than United based on remaining fixtures https://t.co/ZnQH7DtEPO,0,Arsenal has a chance of replacing Chelsea in the To than United based on remaining fixtures
93,93,SeaaaaMannnn,◢◤,"@Jist_Arsenal Cash in on him?😂

He's not Arsenal's entity, is he?",0,Arsenal Cash in on him  He s not Arsenal s entity is he
94,94,CameronStroud72,"Bangor, Northern Ireland","@IconicUnited @zaMUFC2 @NG_________ Yeah I am, still go to more Arsenal games than all you fanboys who live round the corner.",0,Year I am still go to more Arsenal games than all you fanboys who live round the corner
95,95,HollieAgombar,"Eastleigh, England",I’m going into hiding if both arsenal and saints finish above us. Legit my worst nightmare 😂 cheers @SpursOfficial… https://t.co/nAtnU9U8x3,1,I’m going into hiding if both arsenal and saints finish above us Legit my worst nightmare  cheers
96,96,DailyStar_Sport,United Kingdom,"Chelsea fans hail Ashley Cole a ’true blue’ after Arsenal ‘snub’ on TV | #CFC

https://t.co/CyEdh058B4 https://t.co/OoxJEHZlFk",1,Chelsea fans hail Ashler Cole a ’true blue’ after Arsenal ‘snub’ on To
97,97,DarrylKnee,,Looks like Stones played his last game for City. Arsenal and Everton rumoured to be interested.,0,Looks like Stones played his last game for City Arsenal and Evertor rumoured to be interested
98,98,AbnerFl82157681,,@ROLVeStuff there’s a hacker in this arsenal I forgot his username,0,there’s a hacker in this arsenal I forgot his username
99,99,FlairLikeSaka,,@UtdOtfd @Arsenal You're not funny g,0,You re not funny g
100,100,whiskey_soaked_,"West Hollywood, CA",@HectorBellerin @424onFAIRFAX @Arsenal I live pretty close to that place!,0,I live pretty close to that place
101,101,ClockEndJamesXI,🏴󠁧󠁢󠁥󠁮󠁧󠁿🇷🇸,@jbladeee @AFTVMedia Loool only big game Lacazette has played in for Arsenal was the Europa League semi final in 20… https://t.co/lENfTfH5Tb,1,Loool only big game Lacazette has played in for Arsenal was the Europa League semi final in …
102,102,lord_xbox,In Fokin Orbit,"@PlayWarframe arsenal riven mod (boosts any stat on anything)
the possibilities are endless!
(plz dont make it a thing...k tnx)",0,arsenal riven mod boosts any stat on anything the possibilities are endless ply dont make it a thing k tax
103,103,BossyFm,Sarf East London innit,"Live from 21:100, Season 10 continues, We are unbeaten in all competitions, could we have an Invincible Season! Joi… https://t.co/Or6EhtLHbC",0,Give from Season continues We are unbeaten in all competitions could we have an Invincible Season Joy…
104,104,_Marl0n,Pick me Twitter,How you expect Arsenal to lose a Twitter poll? 😂😂😂😂 https://t.co/gcWwNKOo0P,0,How you expect Arsenal to lose a Twitter poll 
105,105,Acejeannartey,"Koforidua, Ghana",@Arsenal A decent week to announce the deals @Arsenal,0,A decent week to announce the deals
106,106,IVishalChandel,"Mandi, Himachal Pradesh, India",@Arsenal Congratulations man🥂,0,Congratulations man🥂
107,107,llewinzabayomi, lagos,@theolaoflagos_ Arsenal,0,Arsenal
108,108,Afrikuz,,@MirrorFootball @Robbie9Fowler Why is the British Media after this man though? Focus on Arsenal and United.,0,Why is the British Media after this man though Focus on Arsenal and United
109,109,Gooner_Eurychus,Follow Me ⚽ ,"In a scale of 1-10, where would you rank Bukayo Saka's performance at Arsenal this season?",16,In a scale of where would you rank Bucayo Sake s performance at Arsenal this season
110,110,Nick_Forrister,,Reminds me of the pinger @youngy18 scored against Arsenal in the 8-2 demolition https://t.co/skpfClvCnA,0,Reminds me of the pinger scored against Arsenal in the demolition
111,111,NickPowch1995,"England, United Kingdom",Will Arsenal sign both Upamecano Partey this summer?,0,Will Arsenal sign both Upamecano Party this summer
112,112,OlRidwan,Everywhere.      ,@Arsenal Congratulation to him 👏🏿,0,Congratulation to him 
113,113,l_searle003,"South East, England",@atobfitness @juIianAFC @CFCHale Times change mate reputation changes I’m sorry but arsenal are not as big as they… https://t.co/UXsQcPB6gP,0,Times change mate reputation changes I’m sorry but arsenal are not as big as they…
114,114,YungYins,in your mind,"@Arsenal Boy or girl???
Or both???",0,Boy or girl Or both
115,115,gaisha94,"Maryland, USA",@RealOneMicKE @DMVSoccerDotCom @RealOneMicKE worry about your @Arsenal having another below par season .,0,worry about your having another below par season
116,116,MacGaiveeerr,Malaysia,Crucial remaining games for the boys. Let's keep the momentum. How many points we'll get?  @Arsenal #COYG #Gunners… https://t.co/cM6XjGWzYA,0,Crucial remaining games for the boys Let s keep the momentum How many points we ll get
117,117,TYLERAFC16,"London, England",@Thomaspartey22 @EMYAfrica Arsenal,0,Arsenal
118,118,AFCfantalk1,,"@arsenadam Would Mane score 30 goals at Arsenal? Absolutely not. Would Auba score more at Liverpool, without question.",1,Would Lane score goals at Arsenal Absolutely not Would Alba score more at Liverpool without question
119,119,Arsenal__Crazy,"Dhaka, Bangladesh",@fbalogun67 I follow back,0,I follow back
120,120,AkinolaKoleola,"Lagos, Oyo-Igboora, Ogun-Ilaro",@magmal11 @BhabaFlo Plls no give us assignment wey no concyne us abeg!  Me masef I go kuku prefer make we no smell… https://t.co/6lPRcTCGD2,0,Polls no give us assignment wey no concyne us beg Me mases I go kuku prefer make we no smell…
121,121,JackCZinto,,@SteveWa92027601 @motopp1 @LFC @premierleague still has more trophies in the past decade than arsenal 🤣,0,still has more trophies in the past decade than arsenal 🤣
122,122,temiteelil,,@___Kola @OmoKiikan lol you this arsenal fool 😂,0,Kola low you this arsenal fool 
123,123,CooldamXbone,"Lagos, Nigeria",I love Arsenal https://t.co/Jqo99jWVwG,0,I love Arsenal
124,124,GeoffArsenal,London. ,"Supposed to be bang on this, and both Martin &amp; Ronan are The Arsenal. 👌🏻 https://t.co/AlfT1TP7Ff",0,Supposed to be bang on this and both Martin amp Roan are The Arsenal 
125,125,sonny_johnson99,,@shanetcurran @Arsenal *quiet. Come on man.,0,quiet Come on man
126,126,lewis_markham,,"This is such an underrated goal. For a man who hasn’t scored away from home in the league since last February, he t… https://t.co/dgDk8dk0ci",4,This is such an underrated goal For a man who hasn’t scored away from home in the league since last February he t…
127,127,Therealwhizdomo,"Lagos, Nigeria",I won't be a gooner in Jesus name. I'll continue to declare the works of the lord in the land of the living. https://t.co/8HA89WmJB0,0,I won t be a sooner in Jesus name I ll continue to declare the works of the lord in the land of the living
128,128,IbadNaek,LFC & Internets,"#lfc - need 11 points out of 15 to get for the big 100. 

Brighton (A)
Burnley (H)
Arsenal (A) 
Chelsea (H)
Newcast… https://t.co/0m8DfSQHlB",0,need points out of to get for the big Brighton A Burley H Arsenal A Chelsea H Newscast…
129,129,MaseTMT,,@LGAmbrose I’ve always said that. I don’t see a massive improvement compared to his time at Arsenal. He had great g… https://t.co/8Dmt528JnU,0,I’ve always said that I don’t see a massive improvement compared to his time at Arsenal He had great g…
130,130,katiemccbe,fan acc,arsenal v reign rematch very needed imo i wanna see allie long square up to katie mccabe 👏🏼👏🏼👏🏼👏🏼👏🏼,10,arsenal v reign rematch very needed imo i wanna see allied long square up to tatie mccabe 
131,131,nuurist,Addis/Mogadishu/Nairobi,@Asmali77 @_Yasmin_Ahmed We shall rejoice with you - Arsenal hatuna chuki!,1,Jasmin Armed We shall rejoice with you Arsenal hatuna cheki
132,132,edidiongcamilus,"Abak, Nigeria",@hashtagtsweets Man U and Arsenal disappointed u yesterday I wonder how u felt,0,Man U and Arsenal disappointed u yesterday I wonder how u felt
133,133,ifechukwude_a,Ibadan,Congratulations Pepe https://t.co/ViESqFTiQf,0,Congratulations Pipe
134,134,Jxck_ltfc,,@barryEast34 @ed_afc @Arsenal How’s 10th place looking rn? We left it just for you to sit hope it’s warm there,0,arc How’s th place looking rn We left it just for you to sit hope it’s warm there
135,135,hitscharming,,"Arsenal could sell French midfielder Matteo Guendouzi, 21, France forward Alexandre Lacazette, 29, or Uruguay midfi… https://t.co/LFJXFsa3xg",0,Arsenal could sell French midfielder Matter Guendouzi France forward Alexander Lacazette or Uruguay midi…
136,136,DisconcorMiles,"Enugu, Nigeria",@EddieLongbridge @goal Arsenal fan😁😁😁,0,Arsenal fan
137,137,ShettyAravind,Mangalore,"@EduardoHagn As much as I want him to at Arsenal ,he is going to AC Milan .",0,As much as I want him to at Arsenal he is going to A Milan
138,138,ConorMallon10,,@TheRedmenTV So we'd be still above Arsenal 🤣😂,1,So we d be still above Arsenal 🤣
139,139,chrispitsfaxx,,@PereiraRion U mean 7 points above relegation bruh y u getting Arsenal here,0,U mean points above relegation brush y u getting Arsenal here
140,140,moweava,Gloucester / UK,@Ibbibham @OptaJoe @curtisjr_10 @MoSalah @premierleague @LFC How many golden boots did Henry get at Arsenal and how… https://t.co/dVWRzqybHA,0,How many golden boots did Henry get at Arsenal and how…
141,141,RomeoLFC,United Kingdom,"@TLister77 A brighton
H burnley
A arsenal
H chelsea
A newcastle

Last 3 games are a bit dodgy. But we should be breaking citys record.",0,A brighton H burley A arsenal H chelsea A newcastle Last games are a bit dodgy But we should be breaking city record
142,142,LABU11Y,"Los Angeles, CA","@Timbaland when the other side did this people ignored, now since black men are showing they too have arsenal, it’s… https://t.co/bWESxS5pOt",0,when the other side did this people ignored now since black men are showing they too have arsenal it’s…
143,143,mtkigz1,"England, United Kingdom","Villa's remaining fixtures:
Man Utd (H)
C. Palace (H)
Everton (A)
Arsenal (H)
West Ham (A)

All tough matches for t… https://t.co/gv8loxTA0W",0,Villa s remaining fixtures Man Ut H C Palace H Evertor A Arsenal H West Ham A All tough matches for t…
144,144,jamez_don,Living,How old were u when u discovered FIFA means football Isnt For Arsenal?,0,How old were u when u discovered FIFA means football Isn For Arsenal
145,145,Arsenal_Design,deep inside my own head.,Fuck. Its 2 inches to short to route through the back. So there's gonna be a ugly ass wire going through the case. https://t.co/mRacPuZUvi,0,Luck Its inches to short to route through the back So there s gonna be a ugly ass wire going through the case
146,146,ahmad_gooner7,"Lahore, Pakistan",@Arsenal CONGRATS PEPE♥,0,CONGRATS PEPE
147,147,JackCZinto,,@SteveWa92027601 @motopp1 @LFC @premierleague Rhian brewster has more trophies in the past 10 years than arsenal.,1,Rmian brewster has more trophies in the past years than arsenal
148,148,AFC_ADS,"London, England",@CFCJamier @afcxmatt @Arsenal Running down the wings for our women’s team,0,Running down the wings for our women’s team
149,149,SportEdge3,"Kampala, Uganda",".@Arsenal forward Nicolas Pepe and his partner welcomed their first child yesterday. 👶🏾

Congratulations. 💐🎉 https://t.co/KBRsikafg5",0,forward Nicholas Pipe and his partner welcomed their first child yesterday  Congratulations 
150,150,RemmyEmmy21,,@Crazy_Nairabian Arsenal loss,1,Nairabian Arsenal loss
151,151,asemota_james,,@Arsenal Awww Congratulations to his wife and him 🖤🥳✊,0,Www Congratulations to his wife and him 🥳
152,152,iampalmrose,Enugu,@Arsenal Congrats bro,0,Congrats bro
153,153,wheezypro2,"Lagos, Nigeria",@Arsenal Congrats,0,Congrats
154,154,lavellecult,s/h,"chelsea fans twerking for miss long purely because scar who she replied to is an arsenal fan, pls help😭",9,chelsea fans tweaking for miss long purely because scar who she replied to is an arsenal fan pus help
155,155,LFCKentSE1,,"Looks like we need to get 6 points from Arsenal, Chelsea and Newcastle to break the 100 point mark. #lfc #100points #records",0,Looks like we need to get points from Arsenal Chelsea and Newcastle to break the point mark
156,156,hbrabim10,New York ,@ItsBrunoUno1 @F3RGIET1ME @roguenation99 @TheBeardedRauI There were not that many clubs Back then. All the top Play… https://t.co/bBBQgCwQAE,0,There were not that many clubs Back then All the top Lay…
157,157,SockLib,,@thesupercheckm1 I’m just gonna find a way to set off the United States’ nuclear arsenal because if that happens th… https://t.co/uu9QXqUTnT,0,I’m just gonna find a way to set off the United States’ nuclear arsenal because if that happens th…
158,158,Shlokpanchal_,,@NeeljiTweets Man fuck that I still have hope Arsenal will finish in the top 4 or 5,1,Man fuck that I still have hope Arsenal will finish in the top or
159,159,harenzzzzz,,Pepe scores once again https://t.co/E0934KWxue,1,Pipe scores once again
160,160,AfcGunman,"London, England",@afchighbury2 @Arsenal He did❤️,0,He did
161,161,anjola_15,Nigeria,@Adexnelson @Arsenal Funny,0,Funny
162,162,Mr_Fowowe,"Otta, Nigeria",@Adexnelson @Arsenal This perseverance spirit,0,This perseverance spirit
