,tweets,sentiment
113,Times change mate reputation changes I’m sorry but arsenal are not as big as they…,negative
114,Boy or girl Or both,neutral
115,worry about your having another below par season,neutral
116,Crucial remaining games for the boys Let s keep the momentum How many points we ll get,positive
117,Arsenal,neutral
118,Would Lane score goals at Arsenal Absolutely not Would Alba score more at Liverpool without question,positive
119,I follow back,neutral
120,Polls no give us assignment wey no concyne us beg Me mases I go kuku prefer make we no smell…,neutral
121,still has more trophies in the past decade than arsenal 🤣,positive
122,Kola low you this arsenal fool ,neutral
123,I love Arsenal,positive
124,Supposed to be bang on this and both Martin amp Roan are The Arsenal ,neutral
125,quiet Come on man,neutral
126,This is such an underrated goal For a man who hasn’t scored away from home in the league since last February he t…,neutral
127,I won t be a sooner in Jesus name I ll continue to declare the works of the lord in the land of the living,neutral
128,need points out of to get for the big Brighton A Burley H Arsenal A Chelsea H Newscast…,neutral
129,I’ve always said that I don’t see a massive improvement compared to his time at Arsenal He had great g…,positive
130,arsenal v reign rematch very needed imo i wanna see allied long square up to tatie mccabe ,positive
131,Jasmin Armed We shall rejoice with you Arsenal hatuna cheki,neutral
132,Man U and Arsenal disappointed u yesterday I wonder how u felt,negative
133,Congratulations Pipe,neutral
134,arc How’s th place looking rn We left it just for you to sit hope it’s warm there,positive
135,Arsenal could sell French midfielder Matter Guendouzi France forward Alexander Lacazette or Uruguay midi…,neutral
136,Arsenal fan,neutral
137,As much as I want him to at Arsenal he is going to A Milan,positive
138,So we d be still above Arsenal 🤣,neutral
139,U mean points above relegation brush y u getting Arsenal here,negative
140,How many golden boots did Henry get at Arsenal and how…,positive
141,A brighton H burley A arsenal H chelsea A newcastle Last games are a bit dodgy But we should be breaking city record,neutral
142,when the other side did this people ignored now since black men are showing they too have arsenal it’s…,negative
143,Villa s remaining fixtures Man Ut H C Palace H Evertor A Arsenal H West Ham A All tough matches for t…,negative
144,How old were u when u discovered FIFA means football Isn For Arsenal,positive
145,Luck Its inches to short to route through the back So there s gonna be a ugly ass wire going through the case,negative
146,CONGRATS PEPE,neutral
147,Rmian brewster has more trophies in the past years than arsenal,positive
148,Running down the wings for our women’s team,negative
149,forward Nicholas Pipe and his partner welcomed their first child yesterday  Congratulations ,positive
150,Nairabian Arsenal loss,neutral
151,Www Congratulations to his wife and him 🥳,neutral
152,Congrats bro,neutral
153,Congrats,neutral
154,chelsea fans tweaking for miss long purely because scar who she replied to is an arsenal fan pus help,positive
155,Looks like we need to get points from Arsenal Chelsea and Newcastle to break the point mark,neutral
156,There were not that many clubs Back then All the top Lay…,positive
157,I’m just gonna find a way to set off the United States’ nuclear arsenal because if that happens th…,neutral
158,Man fuck that I still have hope Arsenal will finish in the top or,positive
159,Pipe scores once again,neutral
160,He did,neutral
161,Funny,positive
162,This perseverance spirit,neutral
163,How could you forget to mention Arsenal trying to walk it in again ,neutral
164,Kier Swarmer would be pleased then ,positive
165,Clot can stimulate something in a player n goes both ways it s not about this club and that club Sanchez numbers r…,neutral
166,Pus should give him a yrs contract,neutral
167,that would be a great arsenal skin,positive
168,We found the new Henry and Van Persia before Arsenal sksksksksk,positive
169,Coming to Arsenal,neutral
170,Sake from arsenal,neutral
171,kwaku t Oh yeah Arsenal is gargantuan,negative
172,He’s coming Arsenal,neutral
173,Welcome to Arsenal 🤗,positive
174,Songs ,neutral
175,Smush Well Him low your ill collection cute too Well 🥱🥱🥱 and my arsenal too crazy for a take over,negative
176,Pipe Jr is here ,neutral
177,What is Mike Artema’s Arsenal An Athletic original written by Ormstein and …,positive
178,I look at it a bit like arsenal and Puton town,neutral
179,Congratulations mate,neutral
180,I don’t dismiss any method the republicans use to diminish the votes for Bien this is just one more tool in their…,positive
181,Good one,positive
182,Or it could be a girl and we can sign her up to the women’s team,neutral
183,IzIs Spurs and Leicester are out of form they have more chance against them than we do against arsenal and Man U,positive
184,I second that Gives me that same kind of vibe rn Good enough for Evertor Wolves Spurs Arsenal maybe…,positive
185,G u support arsenal and ur telling me I like average players Ur team stinks a…,negative
186,Baby nice ,positive
187,Barcelona arsenal Chelsea,neutral
188,Before their game today Arsenal and Liverpool had the exact same goals for vs goals against in Arte…,negative
189,And your club isn’t An Arsenal Fan spending his Sunday evening’s on Evertor’s twitter,neutral
190,Welcome at,positive
191,He tweeted about planting trees everytime Arsenal wins i think last month,positive
192,has been rewarded for their good work at Arsenal by winning English Premier Division Manager of the Month for August,positive
193,Niggas stealing the hat swag so I gotta get a new arsenal 🤧,positive
194,Welcome to Fatherhood club Nature playing is expected of you henceforth no more Secondary School playing…,positive
195,you support arsenal mate whens the last time you won something,neutral
196,Above Arsenal,neutral
197,Buendia is no brainer man I want him at arsenal at least as a Squad player would come in for peanuts,negative
198, I m selling you across boarders bro Big,neutral
199,Why do they link with almost all players,neutral
200,Arsenal fans celebrating we have more known youngers because they can actually get game time trophy,positive
201,Why lipoo be arsenal,neutral
202,Artema Lacazette really needed that goal Our head coach discusses our French forward and the roles that Shkodra…,positive
203,I like the way Sake reacted he was rewarded Mike Artema discusses our teenage forward s goal and performance …,neutral
204,Lacazette on… the win Sake and the defence Our French striker reacts to a hard fought victory at Wolves and the…,positive
205,Great coaches don’t risk an important player in an already won match It’s not a Guess u support Arsenal,positive
206,cause i know not the ceo of harassing arsenal players talking,neutral
207, I hate Spurs so much,negative
208,cloak Arsenal ne,neutral
209,It’s not a conflict of interest they all went on the show before making m…,neutral
210,The fact that Weak Oil at Arsenal is better than any Pogba season kills me man ,positive
211,cong pipe,neutral
212,Have you seen Arsenal 🥰,neutral
213,session with Ex Arsenal under s RCT now current Reading academy player Davina Spinoza ,neutral
214,Well I’d be worried if he became a mother,neutral
215,Year don t think Origin good enough th Brewsters coming back so I d say someone like Aubameyang if…,positive
216,Arsenal lt lt Liverpool i’m wrong,negative
217,He scored on his debut against arsenal He scored a brace against Chelsea in the u…,neutral
218,Congrats Pipe welcome jnr gunner,positive
219,Good detailed description of the match Glad you highlighted Mainland Miles contribution He has…,positive
220,How many C medals with Arsenal,positive
221,New dad in town congratulations,positive
222,Arsenal,neutral
223,Semi Martinez levels Spurs for clean sheets this season,positive
224,Big a little deeper and you’ll realise Mattéo Guendouzi’s exclusion from Artema’s Arsenal squad has been a long ti…,negative
225,Th fair enough if you d take him because he suits arsenal more but mane is the much…,positive
226,Eurychus Arsenal fans piping up again,neutral
227,Man United And Arsenal Fans When The Champion s League Is Mentioned In The Office,neutral
228,Arsenal fans voted for you come to the carpet ,neutral
229,Im about to record my o…,neutral
230,Underrated comment ,neutral
231,Having a bet on the Arsenal v Leicester game Get your bet refunded up to £ as a Free bet with…,neutral
232,Absolutely brilliant ,positive
233,Arsenal are shit against top teams artetas tactics are too progressive Need to play an…,positive
234,Still better than Arsenal,positive
235,He s better than our current midfielders He s so brilliant on the ball I would like we cash in on him,positive
236,Announce Pipe J,neutral
237,glad He beats his wife when arsenal lose,positive
238,shame Shame so you’re still supporting arsenal,positive
239,Congrats Nice can t wait to know how that feels,positive
240,Come rain or shine,neutral
241,Arsenal,neutral
242,He s arsenal bound,neutral
243,ever,neutral
244,Just have it at the back of your mind that we ll be active in the t…,negative
245,arsenal fans They also think Pipe is better than Pulisic omao,positive
246,Greatest Pp season by points Man U City Man U …,positive
247,also tatie plays for arsenal babe can’t have you out here looking crazy girlie ,negative
248,This is nine months ago,neutral
249,Don’t expect too much from Arsenal fans brother ,positive
250,It was two or three years late th,negative
251,Arsenal confident of completing Thomas Party transfer as key duo approve swoop,positive
252,Arsenal in reverse,neutral
253,the girl is a dash and arsenal fan so i will say that allied long is right,positive
254,Cos I know it s only a Manchester united fan that ll say that Manchester Derby…,neutral
255,He wouldn’t leave for arsenal though possibly Napoli but who knows hoping the takeover happens so th…,neutral
256,Congratulations man,neutral
257,Arsenal fans part is so damn accurate And oh the Ronald fanboys too ,positive
258,Happy to be a sooner we are made of black and white,positive
259,Eurychus na his wife does,neutral
260,Classenal ,neutral
261,Collection Of Home Programmes,neutral
262,Unlucky Lacazette His career only went downhill after this,neutral
263,Blacklist U are a complete 🤡 sorry Some arsenal fans and dere opinions are funny who is holding ,negative
264,sports I know u dey beef us cos na only arsenal get such unique title in England,positive
265,Congratulations Nice,positive
266,I never watched golf or NASCAR much before but now watch both religiously And Premiere League Arsenal,positive
267,One achievement since joining Arsenal,neutral
268,Thought his first child was vv,positive
269,watch out for newcastle and arsenal tho,neutral
270,Arsenal for life,neutral
271,Miller Just know my husband Ex military and I are not part of any group…,negative
272, this could be the guy your looking for,neutral
273,Not Spurs Arsenal and one linked with arsenal what are the odds,neutral
274,We ve got this,neutral
275,Please vote guys,neutral
276,Congratulations,neutral
277,Congratulations,neutral
278,allow it bro he’s a fashun guy u think I’d go out of my way to watch arsenal low,neutral
279,What s this,neutral
280,He’s an Arsenal fan he’s coming to the Emirates,neutral
281,announce Pipe jr,neutral
282,Would love him at Arsenal bossing the space in front of the back four,positive
283,Welcome to The Arsenal,positive
284, Juventas to test Arsenal resolve with Oil bid,neutral
285,Baston Villa came for a point at least but Curtis Jones and Lane did it for Liverpool Leicester won it with again…,negative
286,BLESSED CHILD,neutral
287,Let him go on maternity leave for the next months,neutral
288,Contrat Nice on been a father God Guidance won t seize in ur family,positive
289,Congratulations to Nicholas Pipe and his wife on the birth of their first child ,positive
290,You do realise that Villa have to play Ut Arsenal and Evertor No points there pa…,neutral
291,Welcome to Arsenal bro can’t wait to have you ,positive
292,It’s Arsenal’s worst season in years yet the Spuds still somehow find a way to outbanter us You can’t write this,negative
293,Basically this means what cars with W engine maybe stronger the current Ferrary engine Ana this feels like we…,neutral
294,Throw Dominie in the twist because we are mighty Arsenal,positive
295,We love you at Arsenal Thomas,positive
296,Congrats to Pipe,neutral
297,samian Madrid sold cr arsenal sold Henry at his prime,neutral
298,If I was Arsenal’s chief executive this would be my plan Sell Mustafi Haka Öoil even if we pay of his w…,neutral
299,Sufi Have you never heard of Kroenke The man who runs our cl…,neutral
300,Sorry Arsenal ,negative
301,Premier League Update – Arsenal secure vital win at Wolves Manchester United smash FIVE past Bournemouth and Chess…,positive
302,Congratulations Nice,positive
303,We can’t afford to play like the first half today against them and Arsenal and Chelsea if we do we’ll get hammered ,positive
304,Can’t think of any that played for Arsenal or Chelsea either,neutral
305,got Spurs players arsenal and one linked with arsenal,neutral
306,If arsenal actually get a C and midfielders next season might be one the most competitive prem seasons ever,positive
307,But buendia in an Arsenal team and he d be right up there with the assists,positive
308,announce Aubameyang contract extension and the signing of Thomas Party done and dusted ,neutral
309,wow what a piece of analysis on world cup winner Paul Pogba from an Aren…,positive
310,Had a great time doing the podcast tonight with and a returning…,positive
311,Arsenal purchase Mason Greenwood,neutral
312,Clubs are rebuilding Look at Man United Man City Liverpool Chelsea Pig Bayer Take Bubo to Madrid Even Are…,neutral
313,Congratulations to you Nicholas Pipe,neutral
314,A new sooner on the cards,positive
315,Download Highlights Wolves vs Arsenal,neutral
316,Said by an Arsenal supporter in Series A you will not even obtain the th Place,neutral
317,He can afford it,neutral
318,obis You are not spokesman Since she left our club to s current club our winning stre…,positive
319,Late you heard something I dont know fill me in,negative
320,Days the Arsenal fan ,neutral
321,He was always waiting for the challenge slightest touch before he threw himself to the ground He’d…,neutral
322,Pipe delivers,neutral
323,This is absolutely insane this guy turns a team like arsenal into a title challenging team on his own,positive
324,Do CUPPY TRENDING OR JST DENOUNCING ARSENAL FOOTBALL CLU,neutral
325,Ink about you arsenal fans but it seems like it won’t get into your heads his role isn’t to score goals…,neutral
326,Man hasn t changed a bit since leaving Arsenal He is still a branch warmer 🤷‍,neutral
327,Arsenal fans out in force after watching premier league champion Oxlade Chamberlain and delighting in the fact he p…,neutral
328,Waiting for the day one of my tweets make it onto Oddsbible For now I am providing football banter and running a c…,neutral
329,manutd Arsenal will beat Leicester Liverpool will beat Chelsea We will beat Leicester Wolves will beat Chelsea Relax To secured,neutral
330,Dis shit was so cute,positive
331,Well at least he performs off the pitch,negative
332,I wonder who knows more about football you plays…,positive
333,When was the last time you made Europe Rangers are currently further in Europa league t…,neutral
334,less lets just agree that arsenal isnt shit 🤝,negative
335,Congratulations,neutral
336,Spot on Frank I loathe the parasites Our club taking the unprecedented step of threatening them with a lawsuit un…,positive
337,They both started at Arsenal 🤔,neutral
338,WHO WANT To PLA ARSENAL,neutral
339,If this lad had a better team around him the goals wouldn t stop flowing Next season will be different…,positive
340,And he s still better than nearly every Arsenal player mad,negative
341,Can’t wait for arsenal to give us one  Hope the Ox starts,neutral
342,Congratulation for not only being senior player but also a father welcome pipe jr,positive
343,People that actually watch Lacazette and Arsenal will realise how true this thread is Lacazette sacrifices hirse…,positive
344,Don’t buy that th Yes they have fame but at the end of the day they live…,neutral
345,Just another boring Arsenal fan hating hype about another club,negative
346,Congratulations Nice,positive
347,Get in,neutral
348,Anyone on the timeline have any arsenal paintings wall decor to recommend Trying to find some unique stuff for one of my walls,positive
349,Never mind that will Arsenal qualify for Champions League,neutral
350,OC Witness Feel very free to,positive
351,Finally A little Gunner,negative
352,A know mate but that season finished nd Talking about in a season…,neutral
353,I ve lowered all flags the day the club died M for nothing more than the M So we were about to sell,positive
354,Grace Ummmmm I literally have no inkling except to be basic and say Man United Arsenal Liverpool or something,neutral
355,arc Any arsenal midfielders better than Lo Cels,positive
356,This Enter that I thought would really compete with June for the scudetto they can disappoint sha rubbish team,positive
357,Don’t you remember the Arsenal game St He was brilliant then too Injury…,positive
358,What we think we need or don t need is irrelevant As we can see and clearly have…,negative
359,How is Arsenal a bad place for a player like him Great new young man…,positive
360,Ur arsenal like u need more money omao,positive
361,what if its a girl,neutral
362,Congratulations Nice,positive
363,“Regression analysis is the hydrogen bomb of the statistics arsenal ” Charles Wheelman “Naked Statistics …,neutral
364,Right Like what other diabolical plans does sis have in her arsenal I’m curious atp,positive
365,Arsenal did it a season n went to the next season til manutd stopped them,neutral
366,Close Mode should have scored at the end but the hit straight at the goalie,positive
367,Your chins bigger than arsenal mate,neutral
368,isaac We don’t really need him though,positive
369,Pipe Stars Me,neutral
370,Greatish can really fit well in that Arsenal team 🤞,positive
371,Congratulations,neutral
372,For me Yucas torriera is very underrated,positive
373,If you re interested in some Perfect Dark merch you can buy tee and get off on the second by entering the co…,positive
374,Party to Arsenal Here we go,neutral
375,Congratulations Pipe,neutral
376,The way arsenal fans bang on u think he’d have scored by now,neutral
377,GIVE IM A R DEA,neutral
378,the whole of arsenal to manchester united,positive
379,Low arsenal is his last bus stop,neutral
380,That was a great goal lacapoom,positive
381,Oh well you should change the team you re singing for right now that being arsenal ,positive
382,Europa is yes but there is a chance that Arsenal would finish th If Arsenal finish th and get Cl t…,neutral
383,We are your proponent so come to Arsenal ,neutral
384,He was a good player at Arsenal better than the wingers we have if fully fit polly pipe can take him…,positive
385,Lingard is going to Arsenal,neutral
386,Liverpool have more wins in the Pp than Arsenal and Ut combined apparently we were lucky to win the league,positive
387,Greatish to Arsenal,neutral
388,Sufi No worries always happy to help another team out x And i…,positive
389,Give him a contact,neutral
390,Only when Arsenal are bleeding its too much it stains Blue,positive
391,That s good news for the coming of the baby Congratulations,positive
392,All us a certain Nigerian Do left the club,positive
393,Yes you had it last time when you defeated us  everyone started changing their ami to…,neutral
394,Just for any special need arsenal fans Lane is miles clear of Aubameyang and that comparison is v disrespectful to mane,positive
395,How many percent of those are back passes and side passes Arsenal and all these deceiving stats,positive
396,Thomas Party says he wants his transfer to Arsenal to be completed SAP and to prove it he will eat trifles p…,positive
397,smart need to hear Jim wanker Begin commentate on Arsenal its unreal Yes players do go down easily but m…,positive
398,Hey guys i have few followers so please follow me and i will follow bag GREAT UN Of ARSENAL since i was years,positive
399,Is it a boy,neutral
400,Congratulations pẹpẹ,neutral
401,Welcome to Arsenal we’re so happy to have you and we’ll love you forever Can’t wait to…,positive
402,Arsenal Leicester,neutral
403,Just a reminder for Arsenal’s next opponent so start to tremble,neutral
404,le was the best source on arsenal last summer but this window they are chatting shit,positive
405,X george You skipping Arsenal fans to put Chelsea fans in batch B ni,neutral
406,Firming Talks into Arsenal team all I m saying,neutral
407,Where do u see Arsenal next season then,neutral
408,Superior quality in that touch,positive
409,Tell me it s a young Pipe who d replace his daddy in the future 🤗,positive
410,Arsenal must do what,neutral
411,I actually think he s trying trf to him I ve always felt since when he came even if people banter arse…,neutral
412,Songs to him ,neutral
413,Your player swore on his daughters life that he got a flick on a teammates goal,neutral
414,Artema Lacazette really needed that goal,positive
415,So Ndombele did I hear,neutral
416,Arsenal under Mike Artema this year nd highest points only behind Liverpool …,negative
417,He isn’t going to shag your calm down,positive
418,Football Who is getting closer to sign for Arsenal,neutral
419,Arsenal fans they just trying to stay relevant before they fast fade away,positive
420,What a player in the ranks,neutral
421,Arsenal Squad Builder Ff,neutral
422,I think I like Arsenal and I will be supporting them in coming days,positive
423,Cheers for the points this season🤭🤝 And ur acting…,neutral
424,Ceric has goal contribution since joining arsenal Mid cels has a mighty ,positive
425,can’t see liverpool being as good next season and pep is losing the plot a bit so will be a good season ho…,positive
426,We move,neutral
427,Do MCC Think the games against Chelsea and Arsenal both needing results chasing Europe could be interesting,positive
428,Hopefully they back the manager the hope but as the saying goes Being an Arsenal fs…,neutral
429,silva winnle I don t like Chelsea but arsenal fans are not supposed to insult them,neutral
430,Donald trump and Arsenal Hall when they first started working together,positive
431,We have to beat one of Ut or Arsenal and also pick up at least points from Palace Evertor and West Ham If we’re…,negative
432,Four more wins reds Brighton Burley Newcastle and Chelsea Arsenal can have a point,positive
433,Video Wolves v Arsenal PREMIER LEAGUE HIGHLIGHTS NBC Ports,neutral
434,This should be the name on his shirt for the next game,negative
435,Congratulations Pipe,neutral
436,Out of these two was the better player in the Premier league era Henry or Ronald,positive
437,Ff  and he’s scored against Wolves who are above Arsenal and Sheffield who are above Spurs ,neutral
438,Someone had to deliver when he wasn t trf,neutral
439,Arsenal actually have a bright future I m excited,positive
440,Arsenal Brand they are not even the top football brand in london Atletico h…,positive
441,years of supporting ARSENAL Gunner for life,positive
442,Can you tell me some names the most talented from arsenal,positive
443,SIN IM Up SIN IM Up SIN IM Up,neutral
444,Out time he did something productive,neutral
445,T You support Arsenal Why are you talking ,neutral
446,granberg Romney was bullying peak Arsenal in the worst Evertor side of the past y…,negative
447,Kingsley Ut aren’t as consistent as us by a million miles They’ll need to improve by pts That’s not going…,positive
448,I think he’s an Arsenal black ops agent,negative
449,Ff  only for ft,neutral
450,Arsenal The mugs,neutral
451,Arsenal LMAOOOOOOOOOOO why na,neutral
452,Shocking The professionalism in this sport is at its lowest,negative
453,i found that like months ago amp since then i haven’t looked at arsenal the same again,neutral
454,kob getting more desperate for this assist record  he’s still claiming the one vs arsenal couple weeks back  i…,negative
455,Good to hear that,positive
456,You’re lower in the table than arsenal ,neutral
457,can you v me myusername is AlexZoeCone i would love to lose from a popular arsenal player…,positive
458,FOLLOW My PLAYERS I REALLY REALLY NED YOU SUPPORT I WILL FOLLOW YOU ACK  TRUST My,positive
459,U go for Arsenal ,neutral
460,Probably City will reinforce big time unless they’re banned from the C Chelsea have…,neutral
461,Barcelona Arsenal and Man U even if they are sharing extra lives there I will never support them,neutral
462,Arsenal peaked with peng players We re coming for you Liverpool,neutral
463,Playing arsenal 🤪🤪,neutral
464,Pipe assisting in both ends my winger,neutral
465,look literally every season its a horse race back then…,neutral
466,The guy dey score every where sha on and off pitch Well done on been a grand father Arsenal,positive
467,die Literally past tweets have all been about arsenal I’ll say it again obsessed,negative
468,The academy is starting to fruit at last Some really exciting prospects,positive
469,Semi Buendia must buy PL proven low wages young player who can improve further can play mud…,positive
470,Congratulations,neutral
471,All for him to be worse than year old Mason Greenwood,negative
472,Can t stream arsenal for days due to account age restriction at least on my twitch acc min days or so,negative
473,I now understand celebration yesterday,neutral
474,GIVEAWAY Will be picking a random winner on the day of release of the new Arsenal shirt Retweet and follow…,negative
475,Arsenal season highlights,neutral
476,I don’t want Arsenal to do it beg,neutral
477,Low Jose s team is behind Arsenal and Liverpool th,negative
478,He is fairly slow and not great in the air but he has shown both here and in Beg…,negative
479,Do you think he can make it to the Arsenal squad,neutral
480,silva Hut up please  I don t understand how an arsenal fan will tweet this,neutral
481,Never,neutral
482,Healing with Adams Traore was never going to be easy but Arsenal got the job done,positive
483,Arsenal board should not try selling lacazette Guendozi mustafi and oil are there If Aubameyang need to…,neutral
484,Man City Man u ARSENAL Chelsea,neutral
485,Toi Agree if villa would except m then Arsenal should pick him up ,neutral
486,Arsenal are losers Why should he go and waste his time there,negative
487,Or what I should say is the difference in how the media portray United compared to Arsenal this year 🤷‍,neutral
488,You re counting Arsenal as a big game ,negative
489,Should be in your ranking,neutral
490,He is always been a top playercfor beloved arsenal fc,positive
491,Liverpool would still be above Arsenal even if all the points Liverpool won away from home were removed,neutral
492,I did this decode before game started late upload Arsenal won the goal line bet,negative
493,What a goal,neutral
494,clive You see I didn t even have to say which you figured it out,neutral
495,U dey mind dem like say their generation get half of wet…,negative
496,But involves arsenal and Tottenham who are mid table at best,positive
497,Marking Arsenal seem to actually be Good Less…,positive
498,you just hate Arsenal ,negative
499,Ormstein Anyɛ gbemi you know the no of years Arsenal has featured in C Stop hating,neutral
500,Great Time to become a mother next Deliver some goals   ,positive
501,NEW EPISODE MIN THE GPA and discuss Arsenal s resurgence Tottenham s decline …,positive
502,Congratulation red Pipe,neutral
503,Late to agree but arsenal invincible team would beat th…,negative
